"product_id","category_id"
"b7616e49-f9e8-4696-a2ae-fe8bdcb24f55","913dc0f1-9f3c-4ede-8eb8-54e51a328eb8"
"b7616e49-f9e8-4696-a2ae-fe8bdcb24f55","0d7fd31b-ec62-475b-bebd-4277010b7e14"
"54aaef2b-d26a-4624-9d02-0a0f750f8f0b","e55b1e9d-1ec8-41e6-9421-c79ccef2da87"
"54aaef2b-d26a-4624-9d02-0a0f750f8f0b","0d7fd31b-ec62-475b-bebd-4277010b7e14"
"02019951-6514-4f8d-8ea9-d0e253473f5f","905d3b53-7771-4e10-9391-8aedce01090d"
"02019951-6514-4f8d-8ea9-d0e253473f5f","0d7fd31b-ec62-475b-bebd-4277010b7e14"
"f9b7f676-5f39-42e7-94b2-72da37ec2435","913dc0f1-9f3c-4ede-8eb8-54e51a328eb8"
"f9b7f676-5f39-42e7-94b2-72da37ec2435","0d7fd31b-ec62-475b-bebd-4277010b7e14"
"16fd140a-59be-4aec-9a5d-83b0ed729957","913dc0f1-9f3c-4ede-8eb8-54e51a328eb8"
"16fd140a-59be-4aec-9a5d-83b0ed729957","0d7fd31b-ec62-475b-bebd-4277010b7e14"
"79c0e6be-d908-4e6c-920f-b9238911d79d","913dc0f1-9f3c-4ede-8eb8-54e51a328eb8"
"79c0e6be-d908-4e6c-920f-b9238911d79d","0d7fd31b-ec62-475b-bebd-4277010b7e14"
"260a62cd-6cf2-4f91-9952-1169e85a87ce","913dc0f1-9f3c-4ede-8eb8-54e51a328eb8"
"260a62cd-6cf2-4f91-9952-1169e85a87ce","0d7fd31b-ec62-475b-bebd-4277010b7e14"
"d259090e-4474-47df-82b1-4dcfa6c5fe1f","913dc0f1-9f3c-4ede-8eb8-54e51a328eb8"
"d259090e-4474-47df-82b1-4dcfa6c5fe1f","0d7fd31b-ec62-475b-bebd-4277010b7e14"
"b8fe5055-9f83-4172-9e0e-d9dd39573580","913dc0f1-9f3c-4ede-8eb8-54e51a328eb8"
"b8fe5055-9f83-4172-9e0e-d9dd39573580","0d7fd31b-ec62-475b-bebd-4277010b7e14"
"37395930-9204-4e08-a509-b36114321de9","913dc0f1-9f3c-4ede-8eb8-54e51a328eb8"
"37395930-9204-4e08-a509-b36114321de9","0d7fd31b-ec62-475b-bebd-4277010b7e14"
"556f05e6-828e-4e82-917b-2d09c06cd751","913dc0f1-9f3c-4ede-8eb8-54e51a328eb8"
"556f05e6-828e-4e82-917b-2d09c06cd751","0d7fd31b-ec62-475b-bebd-4277010b7e14"
"155d3ac5-c186-4cc2-8ea1-1df253fcad6e","913dc0f1-9f3c-4ede-8eb8-54e51a328eb8"
"155d3ac5-c186-4cc2-8ea1-1df253fcad6e","0d7fd31b-ec62-475b-bebd-4277010b7e14"
"9fc5f4e3-9f92-4456-b9e0-f3b8d06cd58b","e55b1e9d-1ec8-41e6-9421-c79ccef2da87"
"9fc5f4e3-9f92-4456-b9e0-f3b8d06cd58b","0d7fd31b-ec62-475b-bebd-4277010b7e14"
"bbe620d8-10c1-41fc-bcb8-b70683449657","e55b1e9d-1ec8-41e6-9421-c79ccef2da87"
"bbe620d8-10c1-41fc-bcb8-b70683449657","0d7fd31b-ec62-475b-bebd-4277010b7e14"
"8a63361b-0f29-4564-b39b-6f54badf7c40","e55b1e9d-1ec8-41e6-9421-c79ccef2da87"
"8a63361b-0f29-4564-b39b-6f54badf7c40","0d7fd31b-ec62-475b-bebd-4277010b7e14"
"779042b5-9b33-4152-9c3f-99d391419eda","e55b1e9d-1ec8-41e6-9421-c79ccef2da87"
"779042b5-9b33-4152-9c3f-99d391419eda","0d7fd31b-ec62-475b-bebd-4277010b7e14"
"5f65ffae-99c0-42a4-92f6-f99ec4be70fe","905d3b53-7771-4e10-9391-8aedce01090d"
"5f65ffae-99c0-42a4-92f6-f99ec4be70fe","0d7fd31b-ec62-475b-bebd-4277010b7e14"
"4eded604-8a97-4376-b135-d3d3cde25975","e55b1e9d-1ec8-41e6-9421-c79ccef2da87"
"4eded604-8a97-4376-b135-d3d3cde25975","913dc0f1-9f3c-4ede-8eb8-54e51a328eb8"
"4eded604-8a97-4376-b135-d3d3cde25975","0d7fd31b-ec62-475b-bebd-4277010b7e14"
