"order_item_id","order_id","variant_id","quantity","price_at_purchase"
"29a0ac7e-e273-4a46-9fdc-be17ce36d62b","6b2da43c-1cf0-4e5e-89b6-f29bd4193cab","54afabe2-6eca-4f17-b4e1-4b2ac6f8a2b2",3,"69.99"
"49eb8771-439f-4e63-868f-ccf865dbc40a","6b2da43c-1cf0-4e5e-89b6-f29bd4193cab","c73f44a3-ded9-485c-854d-2e1bb4718c8f",2,"149.99"
"4f6f0166-6699-4583-823a-9dfe6384b471","83b7a333-66e5-415b-aaa6-401ec4c6b37a","ebb553bb-93a7-4c8f-aa61-ae0e46072f32",2,"49.99"
"c465bfd5-ab97-4f00-a368-9ecdbc4368b4","83b7a333-66e5-415b-aaa6-401ec4c6b37a","4b486972-cddf-4526-9e30-b674c2514c89",1,"21.99"
"08291f16-4ca9-4e2e-aa04-a5b328cd5896","83b7a333-66e5-415b-aaa6-401ec4c6b37a","bb6c7e0f-22b9-48bc-be86-afd45513d982",3,"16.99"
"28eae728-2562-4fd9-b4ee-ea9921c34be4","2b9ca9d6-504b-47d1-8e54-27e788090bb3","3ca3226f-8c0f-4446-a24d-0beddbdf0c9a",3,"59.99"
"8842c21f-2c45-4912-bf46-9535dc20af33","2b9ca9d6-504b-47d1-8e54-27e788090bb3","8aba66c0-2b98-46db-808c-70971440cb75",1,"22.99"
"e90fddd5-75c9-4e3d-9f14-851032b38412","2b9ca9d6-504b-47d1-8e54-27e788090bb3","05d77378-d892-43ee-aed2-e363ea3c4e5a",2,"20.99"
"74c641fd-8bd2-44e1-b2a1-df5eed178e50","14f457fd-9fdf-4737-a55a-d8b764df888d","0d9bbc4e-7f49-42b4-aa3d-2743d47482f4",2,"17.99"
"0a0333dd-8429-4f50-8548-a05ad5cc55d7","14f457fd-9fdf-4737-a55a-d8b764df888d","52f8c1de-13d7-4c30-8f09-264ba5587b89",3,"89.99"
"6e410512-14d5-4760-9c45-2f5620c66f22","14f457fd-9fdf-4737-a55a-d8b764df888d","fa0ec28f-269b-4968-818d-0b24b4ec4738",2,"69.99"
"c719ad22-8d34-49bd-a7c3-40129b560618","b815d083-4dc8-427f-ab13-8f5a98f9f5b8","00bbe901-858d-4432-9459-2c960d70c872",3,"74.99"
"9aadb30b-58b9-4ac2-92a4-ba7f8c51d9ae","b815d083-4dc8-427f-ab13-8f5a98f9f5b8","b10fbcb9-a17d-4891-b32d-f065b9481513",2,"89.99"
"e0bbac0e-129f-4fda-867f-a11401af620b","b815d083-4dc8-427f-ab13-8f5a98f9f5b8","7f24cbcc-eb4b-4d0b-9cf9-7b659727c134",3,"11.99"
"b40cc520-1bc3-4dad-8b43-6a1f200ead57","9ff6cd45-9688-4497-9e8f-621fe9d96b94","53382a1a-0b8c-412f-9e3b-9cf3ccf1adc0",2,"19.99"
"c31eaf30-ae3c-4a1a-8e0c-801889e55fe1","9ff6cd45-9688-4497-9e8f-621fe9d96b94","4e520497-9e26-4c60-b9b0-606efd4746f5",1,"26.99"
"7a60f9dd-0c8e-4cd8-8000-ada4cf067a8d","9ff6cd45-9688-4497-9e8f-621fe9d96b94","b10fbcb9-a17d-4891-b32d-f065b9481513",2,"89.99"
"ad268ff5-66b5-4714-a1cd-b2ee4ac5ef29","a92d6c2e-7c67-4e46-942b-cc6b694c01cd","0d9bbc4e-7f49-42b4-aa3d-2743d47482f4",2,"17.99"
"9b48b75e-a760-4cc7-af80-a954bf14d24b","a92d6c2e-7c67-4e46-942b-cc6b694c01cd","d3d83d15-8be1-447b-bae5-9bd96bcc7208",3,"29.99"
"57b60327-2706-4c0d-be8d-33be878edbbd","a92d6c2e-7c67-4e46-942b-cc6b694c01cd","366b704c-4f36-418d-bb5e-4fb58fe76528",2,"24.99"
"7c41b47b-f26a-4af8-aaaf-a9629bcb05a9","a2a439f8-f1d0-4562-8dea-3e491ddcb28e","e62bd9e4-3b48-48ca-8e1d-8db814a92ae1",2,"59.99"
"916d9570-1308-4007-92bc-2e2f0107e9c5","a2a439f8-f1d0-4562-8dea-3e491ddcb28e","d07cb4a4-39e6-4a6a-a0bf-90981517274e",1,"89.99"
"4e2f0dc3-376b-457a-b55c-0218a7312302","a2a439f8-f1d0-4562-8dea-3e491ddcb28e","2a7a1d85-d810-4a7b-8f00-1552ea38df70",1,"12.99"
"a8c22364-f3a4-477b-b286-fa044820ef48","a2a439f8-f1d0-4562-8dea-3e491ddcb28e","8a026bf9-9a29-4be5-9e4a-231f742f4a2a",2,"24.99"
