"cart_item_id","cart_id","variant_id","quantity"
"3eeb7008-3b32-4751-b568-fc7758d5e7a8","e97cf0fd-5d19-4541-8e04-9840091912bf","4d29712e-2b94-481a-8719-9b9da0d2045c",3
"cb980747-7857-4bf0-9672-08c4d7f1fe22","e97cf0fd-5d19-4541-8e04-9840091912bf","cc177f86-59f4-41ab-9110-132b77f0637a",3
"421653e8-4a13-4578-b513-4b39f627ef0a","e97cf0fd-5d19-4541-8e04-9840091912bf","50c33697-35a3-4ef9-86fc-13b8b31a4717",3
"33a770bc-d62e-478d-afeb-d59fa22616ca","814d8d1b-b7ce-45b6-8929-9662cb27bc8d","2726002e-f0a7-4c64-9875-d6a83a1f70ea",1
"9870728d-0dd6-4d30-bf8a-ca694936fb2e","814d8d1b-b7ce-45b6-8929-9662cb27bc8d","61b99f83-7f95-4787-a062-db76c3d65dec",3
"7cf7badf-e4be-4d74-8534-4e3cd55c41ce","814d8d1b-b7ce-45b6-8929-9662cb27bc8d","9dfefd94-7a13-431b-9e8f-d55b21eafa3a",1
"0748806a-0e8e-416d-a975-7d3fbf7988ca","814d8d1b-b7ce-45b6-8929-9662cb27bc8d","d2c22c5c-57f3-48db-9005-9219a766292c",1
"3b1432c8-e943-45a0-962e-d0d580771678","814d8d1b-b7ce-45b6-8929-9662cb27bc8d","1173c2cb-1a20-4b34-aa05-037d950c379f",3
"fa999aed-8396-4f4c-8a8c-0d23344dc5ab","6fdfb5d9-4e1e-495a-889c-484d73412644","229fef64-186d-4ce3-8fab-d793b75b8f24",1
"53ae588a-a6f5-41a7-95bb-6166fc7760a9","6fdfb5d9-4e1e-495a-889c-484d73412644","3db7844b-3456-4d13-9ee3-880467cc46cb",2
"e1dbc022-c587-4edd-878c-a27c164c5915","6fdfb5d9-4e1e-495a-889c-484d73412644","db4c1a63-5dfc-44fe-907d-3c6deffaf354",1
"2ac87d25-026c-4548-b4cb-8d698bc1f3a7","6fdfb5d9-4e1e-495a-889c-484d73412644","3f55507b-7916-4254-9fef-65767ad04c2f",3
"60ca1dd0-472e-4e35-8004-2941f285eb71","6fdfb5d9-4e1e-495a-889c-484d73412644","477db028-694a-4546-a5f5-7fb5c97782c2",3
"534ba81c-c851-49e3-9191-d7e16422d57f","6fdfb5d9-4e1e-495a-889c-484d73412644","a3b4345a-4b47-4225-a460-6c0e52b8c547",3
"e94db878-baf6-4859-b7b9-af279a9d03cd","b970a340-7c8d-4975-8add-a8e3fa918201","bfbb30ea-d21b-400f-920e-538b7256a116",1
"e0a7a1ed-1ff2-4629-8d56-461234610f8e","b970a340-7c8d-4975-8add-a8e3fa918201","3f69dad2-7ca8-4fa3-b123-0e1deab2d37f",1
"d265b8f2-a134-4a1a-811c-f2c274efa89e","2dd18dcf-cb2a-40ce-9eca-e5779ae3dfa3","abd69b2d-c6b1-4fd4-8b72-b47fc13081ce",2
"59abf264-2e07-41dd-9876-f18327a88f6d","2dd18dcf-cb2a-40ce-9eca-e5779ae3dfa3","d1cfa948-763f-44f0-9ef9-96673d076c20",1
"22325b7d-e100-409c-ae8d-def5bebd638b","0f779936-31ee-4cbc-9f20-9c29f1000582","3149f24b-c530-4b9b-9268-4ac1b49416b7",1
"482b1b2e-216a-48af-adf1-b62bf4d6ca11","0f779936-31ee-4cbc-9f20-9c29f1000582","ed48cc79-9797-4959-a365-10424d70099e",3
"00aceba9-2f32-4728-a814-aabec9efa092","0f779936-31ee-4cbc-9f20-9c29f1000582","cba46003-f00d-44ad-b614-a3f5221add11",3
"ba4dba98-bddf-48b0-8198-f1420c18cb35","0f779936-31ee-4cbc-9f20-9c29f1000582","8462b910-a45b-42ef-a683-f91a7923c596",2
"e3fae112-3370-47ad-ba9b-e17f6d0cafb1","12d7c380-5a27-4eec-afdb-d2779c822eab","3672eceb-bdd3-4864-80b5-5a4fffdb0685",1
"1771bdcb-eb1a-4224-ab86-c369fb82369e","12d7c380-5a27-4eec-afdb-d2779c822eab","0fe62712-48de-484d-b9af-d494124090b1",3
"e0fcb96c-e9d6-4c7c-b331-333b14677b71","12d7c380-5a27-4eec-afdb-d2779c822eab","5e204116-1ede-49e6-9bcd-e8913913dfa7",3
"2f894ecf-f765-4bd3-b2f1-cd59f8df989c","12d7c380-5a27-4eec-afdb-d2779c822eab","a21dcd16-930c-4a85-8353-4ba11bb5bbcc",2
"45f9a1b2-7348-4ab6-bad7-b58fd4734369","bb8bd062-befa-4d16-a8cb-a6c7fec8b1d8","3f6afe65-5c6b-4105-8c88-99b8165603d0",1
"23fdac40-72d6-4578-a5ac-b403a9f59bab","419f2376-5f95-4d85-8fe6-95554f69311c","6c800516-57a3-46d7-abb3-b7c23ed85ab8",1
"c1316739-a4e7-4988-a332-b963d7e55b30","419f2376-5f95-4d85-8fe6-95554f69311c","4957f9aa-7390-4d97-ba35-f5636f160b2b",2
"d2707bbf-28fa-44bb-b594-a11c023e6743","419f2376-5f95-4d85-8fe6-95554f69311c","6e4f5fd8-7fa9-48e4-b24c-073705bc3643",1
"e8dc1acb-8d6c-48ec-a372-6bcf70928bee","419f2376-5f95-4d85-8fe6-95554f69311c","fd784dbf-f098-44ad-9ece-a8480c689e08",2
"8cd7fc91-ba26-48c5-860c-e0561bcd8e17","419f2376-5f95-4d85-8fe6-95554f69311c","6a44091e-edb0-45a9-a197-14546f76758d",3
"72765ccb-d63e-4f95-a33c-a2d2b42c8a40","419f2376-5f95-4d85-8fe6-95554f69311c","ade958e5-9d02-4115-929c-457ba199fcac",3
"dd04040d-8c70-48f1-b023-0b87cc101c79","7b935a1f-cc4f-4676-bb44-3448b4ec8541","bca6e8b5-56f0-4d91-8535-f084c2cc4b20",3
"2fdf34f5-5157-4201-a880-48b5dfc0d070","7b935a1f-cc4f-4676-bb44-3448b4ec8541","d56099a4-7de9-4185-85c9-78b95fb11007",1
"461b2619-c5a8-4300-9ecf-1bdbc9dcf3a5","5b856dea-a952-4a19-b0e0-3e1393a2e385","c2dea58b-7faa-4a58-9f18-15acbc0f360b",3
"34ebcb30-8a72-4ab9-bc92-6a1d6994043d","5cf0fbbe-44e3-4c70-b121-ae85ca787ccf","20679dc4-527c-4143-bb60-7451bebe9c5c",3
"f7ab4d2e-3679-4411-bf01-5382ec77b2f2","5cf0fbbe-44e3-4c70-b121-ae85ca787ccf","fe3297c5-7375-4269-b13f-0747aad0de5a",3
"bfe2b58d-9990-498e-8ae1-fdc94f26ecd6","5cf0fbbe-44e3-4c70-b121-ae85ca787ccf","33220ed2-f3fc-4ad4-8c3a-58452d7ae64b",1
"b0708496-bc03-4ec9-a126-944e90c85413","5cf0fbbe-44e3-4c70-b121-ae85ca787ccf","d9153e23-c718-4523-af98-009a062d0ba7",2
